id,componenttype,contentrole,content,componentsectionid,questionid,ordering,assetid
1,Heading,Heading,"1.1 Definición y características (universalidad, dignidad)",1,,1,
2,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_01_que_son.png,1,1,2,ddhh_01_que_son
3,Paragraph,,"Los DDHH son universales, inalienables e indivisibles, y se fundan en la dignidad humana.",1,1,3,
4,Multiple Choice Question,,,1,1,4,
5,Paragraph,,"Los Derechos Humanos son los principios y garantías que corresponden a toda persona por el solo hecho de existir, sin importar su nacionalidad, sexo, origen, religión o cualquier otra condición. Tienen tres rasgos esenciales: son universales (aplican a todos por igual), inalienables (no se pueden quitar ni renunciar a ellos) e indivisibles (todos son igualmente importantes). Se fundan en la dignidad humana. En Minsur esto significa que aplican por igual a colaboradores, contratistas y comunidades vinculadas a la operación: un operario, un proveedor y un poblador vecino son titulares de los mismos derechos.",1,1,5,
6,Paragraph,,"B y D los confunden con beneficios laborales condicionados al cargo, la antigüedad o las metas; los DDHH no se ganan ni dependen de la posición. C niega su carácter universal y obligatorio. E contradice su carácter inalienable: no se pierden por una falta.",1,1,6,
7,Paragraph,Exercise,"Define los Derechos Humanos y reconoce sus rasgos esenciales (universalidad, inalienabilidad, indivisibilidad, dignidad).",1,1,7,
8,Paragraph,Source,"Declaración Universal de los Derechos Humanos (DUDH), Art. 1 y 2.",1,1,8,
9,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_02_a_quienes_aplican.png,1,2,9,ddhh_02_a_quienes_aplican
10,Paragraph,,"Los DDHH aplican a todas las personas: propios, contratistas, visitantes y comunidades.",1,2,10,
11,Multiple Choice Question,,,1,2,11,
12,Paragraph,,"Los Derechos Humanos son universales: aplican a todas las personas por su sola condición humana, sin distinción de nacionalidad, vínculo contractual, rol o cualquier otra circunstancia. En el entorno de Minsur esto es muy concreto: un colaborador de planilla, un trabajador de una empresa contratista, un visitante y un poblador de una comunidad vecina son, todos, titulares de los mismos derechos. Por eso la responsabilidad de respetar no se limita al personal propio; alcanza a contratistas, proveedores y al entorno donde opera la empresa.",1,2,12,
13,Paragraph,,"B, C, D y E restringen indebidamente el alcance a un grupo (personal directo, ciudadanos, capacitados o directivos). Todas contradicen el principio de universalidad: los derechos no dependen del vínculo ni de la condición de la persona.",1,2,13,
14,Paragraph,Exercise,"Reconoce el alcance universal de los DDHH y lo aplica al ecosistema de la operación (propios, contratistas, comunidades).",1,2,14,
15,Paragraph,Source,"Declaración Universal de los Derechos Humanos (DUDH), Art. 1 y 2.",1,2,15,
16,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_03_finalidad_proteccion.png,1,3,16,ddhh_03_finalidad_proteccion
17,Paragraph,,"Los DDHH protegen la dignidad, la libertad y la igualdad frente a abusos.",1,3,17,
18,Multiple Choice Question,,,1,3,18,
19,Paragraph,,"La finalidad de los Derechos Humanos es proteger la dignidad de cada persona y asegurar condiciones de libertad, igualdad y justicia, especialmente frente a abusos o vulneraciones por parte del Estado, de terceros o de actores con poder, como las empresas. Su protección se activa precisamente cuando un derecho está en riesgo o se ve afectado. Para Minsur, esto orienta la prioridad: el objetivo no es la imagen ni la productividad, sino prevenir el daño a las personas —colaboradores, contratistas y comunidades— y reparar cuando ese daño ya ocurrió.",1,3,19,
20,Paragraph,,"B, C y D confunden el fin de los DDHH con objetivos organizacionales (orden, productividad, jerarquía) que no son su propósito. E es incorrecto: los DDHH no reemplazan la ley laboral, sino que fijan un piso mínimo de dignidad que la complementa.",1,3,20,
21,Paragraph,Exercise,Reconoce la finalidad protectora de los DDHH y cuándo se activa su protección.,1,3,21,
22,Paragraph,Source,"Declaración Universal de los Derechos Humanos (DUDH), Preámbulo y Art. 1.",1,3,22,
23,Heading,Heading,1.2 Origen y marco internacional (DUDH),1,,23,
